"BehaviorSpace results (NetLogo 5.0.2)"
"data_generator.nlogo"
"experiment"
"02/09/2014 21:40:25:064 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"155","0.8","1","0.5313234271578833"
"156","0.8","1","0.5516645846079296"
"157","0.8","1","0.5446547240694302"
"158","0.8","1","0.558236359826683"
"159","0.8","1","0.5458245254066265"
"160","0.8","1","0.5551226059963837"
"161","0.9","1","0.5015831613611172"
"162","0.9","1","0.5256764883271015"
"150","0.8","1","0.5587413368199016"
"163","0.9","1","0.5031257523167865"
"165","0.9","1","0.5130719825847342"
"166","0.9","1","0.5049061366022283"
"167","0.9","1","0.5089633496176031"
"168","0.9","1","0.5074305671119116"
"169","0.9","1","0.5033836530039995"
"170","0.9","1","0.518566804802822"
"171","0.9","1","0.5160828083104436"
"164","0.9","1","0.5211321837691614"
"172","0.9","1","0.5187285462769073"
"174","0.9","1","0.51917463828972"
"175","0.9","1","0.5171165163622824"
"176","0.9","1","0.5141832947852057"
"177","0.9","1","0.5245603745096215"
"178","0.9","1","0.5237656372919122"
"179","0.9","1","0.5281312771087185"
"180","0.9","1","0.5246577152265546"
"173","0.9","1","0.5121131906896407"
"181","1","1","0.48690701125318253"
"183","1","1","0.4805334740140001"
"184","1","1","0.4810294886093817"
"185","1","1","0.48393754207812895"
"186","1","1","0.4782483012468704"
"187","1","1","0.476349500503708"
"188","1","1","0.4719964064678379"
"182","1","1","0.47721010208170644"
"189","1","1","0.48827449523355343"
"191","1","1","0.4924907815358651"
"192","1","1","0.484255462134419"
"193","1","1","0.481596119996338"
"194","1","1","0.47878931566197863"
"195","1","1","0.4958422370824508"
"196","1","1","0.49759088166987264"
"197","1","1","0.4976153002278682"
"190","1","1","0.4945026075060838"
"198","1","1","0.473245254719514"
"200","1","1","0.48443358439132234"
"199","1","1","0.49489137096869273"
